Station,Latitude,Longitude,Elevation,Abbreviation
185718,39.2811,-76.61,6.1,MD
185985,39.2739,-75.87,9.1,MD
186620,39.4133,-79.4,737.6,MD
186770,38.6833,-76.6667,48.8,MD
187330,38.2122,-75.6822,6.1,MD
187806,38.7144,-76.1897,3,MD
188000,38.365,-75.5892,3,MD
189440,39.55,-76.9667,233.2,MD
189750,39.3333,-76.8667,140.2,MD
190120,42.3861,-72.5375,45.7,MA
190535,42.4833,-71.2833,48.8,MA
190736,42.2122,-71.1136,192,MA
193213,42.145,-73.4172,249,MA
194105,42.6992,-71.1658,15.2,MA
195246,41.6333,-70.9333,21.3,MA
196486,41.9819,-70.6961,13.7,MA
196681,42.05,-70.1833,6.1,MA
196783,42.5242,-71.1264,27.4,MA
198367,41.9003,-71.0658,6.1,MA
198757,42.1608,-71.2458,50.3,MA
199316,42.1333,-71.4333,64,MA
200032,41.9164,-84.0158,231.6,MI
200128,42.58,-85.7892,228.6,MI
200146,43.3864,-84.6492,224,MI
200230,42.2947,-83.7108,274.3,MI
200779,43.7072,-85.4822,283.5,MI
201439,46.5192,-87.9858,487.4,MI
201486,46.3414,-86.9242,265.2,MI
201492,45.6528,-84.4725,179.2,MI
201675,41.9622,-84.9925,299.9,MI
202423,44.2839,-83.5036,178.6,MI
202737,45.6667,-86.7167,227.1,MI
203632,43.6747,-86.4239,234.7,MI
203823,41.9353,-84.6411,329.2,MI
204090,45.7858,-88.0842,326.4,MI
204104,46.4656,-90.1892,435.9,MI
204244,42.2833,-85.6,289.6,MI
205434,43.6089,-84.2011,195.1,MI
205650,42.6083,-82.8183,176.8,MI
205662,43.5858,-84.7697,242.6,MI
205690,46.4122,-86.6625,207.3,MI
205816,46.3133,-85.5106,259.1,MI
206300,43.0161,-84.18,222.5,MI
207690,42.4011,-86.2833,189,MI
207812,46.0556,-88.6275,442,MI
210018,47.2992,-96.5161,276.5,MN
210075,43.6064,-93.3019,374.9,MN
210252,48.3311,-96.8253,258.2,MN
210515,48.7094,-94.5869,323.7,MN
211465,44.8,-93.5833,219.5,MN
211630,46.7047,-92.5253,385.6,MN
212142,46.8372,-95.8372,413,MN
212645,47.4581,-92.5303,440.4,MN
212698,43.6447,-94.4656,361.8,MN
212737,44.6697,-93.17,298.7,MN
212916,47.5636,-95.7244,399.3,MN
213290,43.7047,-92.5644,411.5,MN
213303,47.2436,-93.4975,399.3,MN
214106,47.2256,-95.1919,454.2,MN
214652,47.2467,-94.2228,396.8,MN
215175,47.6308,-93.6522,422.8,MN
215400,45.1219,-95.9269,310.9,MN
215435,44.8831,-93.2289,265.8,MN
